ct20_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1-FAM RES,count_2-FAM RES,count_3-FAM RES,count_CONDOMINIUM,count_RES DEV LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhapi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25017382500,1945,487450,250000,367600,7,2,3,10450,1724,2334,113500,28.255,1750.5,11,67,14,32,7,5,0,51,0,20,73,16,6,0,83,84,83,475,40,10,16,582,35,609,74,475,48,6,74,5,69.4,683,2020,5664,2783,2881,1111,3679,874,4067,212,6,691,0,691,58,260,370,1458,2459,1458,616,330,354,106,35,17,1001,800,187,8,4,1,1,0,2017-21,109735,19416,163077,41333,88691,9453
25021402500,1948.5,684000,315000,388000,8,3,4,15663,2304,2382,106000,18.125,2450.5,9,35,11,34,4,2,0,21,0,25,84,9,2,0,36,37,36,445,17,7,15,525,19,546,37,445,16,1,51,16,70.8,583,2020,4293,2123,2170,603,2268,1422,3691,183,5,125,0,125,18,87,184,954,1643,954,439,214,174,93,24,10,689,619,57,5,5,1,1,1,2017-21,145565,39051,167102,31721,55833,50183
25017359303,1968,619512.5,310000,417000,7,3,3,20037.5,2070.5,1869.5,130500,25.055,2050.5,14,95,14,58,1,3,0,95,0,10,159,7,2,0,145,144,145,844,19,40,44,983,50,1041,95,844,63,4,165,22,70.2,1136,2020,7839,3823,4016,1922,4562,1355,5797,161,9,1216,0,1216,47,327,282,2161,2851,2161,803,468,582,215,58,35,690,565,98,15,8,2,1,1,2017-21,159918,33794,188041,16758,103923,17975
25021400100,1920,825000,390000,3e+05,5,2,2,0,1200,2491,180000,33.435,1250.5,13,48,7,52,0,1,0,59,0,20,69,3,1,0,32,34,32,71,19,10,23,583,28,615,48,71,2,9,537,3,73.6,663,2020,5548,2512,3036,788,3887,873,3566,233,5,954,0,954,30,300,460,1069,2505,1069,534,220,226,68,9,12,1436,983,287,102,52,11,1,0,2017-21,94785,19533,217222,95855,90636,35240
25025120104,1910,472500,297500,350400,5,1,2,1075,1070,2140.5,115000,30.54,1050.5,13,15,0,5,1,1,0,9,0,0,11,3,3,0,20,21,20,44,1,1,5,326,12,330,15,44,18,9,269,0,62.6,345,2020,2373,1050,1323,333,1804,236,1570,153,1,156,0,156,16,153,324,546,1088,546,283,134,90,29,6,4,542,323,162,36,20,0,0,1,2017-21,112056,25854,137083,74941,90761,22864
25017383700,1957,355000,210625,293549,7,2,3,10397.5,1392,2383,60250,18.31,1350.5,10,48,11,22,9,2,0,39,0,12,92,24,6,9,85,84,85,739,30,7,16,737,26,760,56,739,24,7,6,3,68.8,816,2020,5308,2583,2725,1028,3300,980,3504,312,10,334,2,336,234,324,588,1455,2100,1455,611,379,310,99,35,21,645,503,116,13,7,2,3,1,2017-21,109063,26645,140208,26949,73354,26939
25017383903,1956,385000,246000,315000,7,2,3,16348,1552,2296.5,55000,15.5,1550.5,11,9,5,16,4,2,0,10,0,4,49,7,2,3,37,39,37,433,11,4,7,406,11,426,13,433,0,0,0,2,67.7,439,2020,2665,1316,1349,575,1620,470,2082,85,1,204,0,204,23,137,133,775,940,775,295,189,190,68,28,5,165,135,22,4,1,3,0,0,2017-21,127679,25096,127679,25096,0,0
25023506104,1972,440750,163950,316400,7,3,3,32670,2289.5,2507.5,71466,18.3,2250.5,11,13,6,33,9,3,0,29,0,5,94,20,6,1,52,56,52,571,15,8,17,570,22,612,20,571,0,0,8,35,73.6,632,2020,4148,2057,2091,856,2424,868,3886,12,0,30,1,31,25,108,86,1178,1492,1178,485,245,270,124,45,9,314,262,48,2,1,0,0,1,2017-21,134675,38297,150796,21238,0,0
25021404302,1967,815000,445500,520291,8,3,4,10144,2172,1884,203000,30.42,2250.5,13,78,13,50,0,1,0,115,0,19,100,1,1,0,111,113,111,530,24,28,26,635,41,676,78,530,14,1,167,13,64.6,754,2020,3825,1779,2046,966,2093,766,2712,69,0,676,0,676,28,162,178,1040,1366,1040,380,219,291,99,42,9,326,290,31,2,3,0,0,0,2017-21,164038,35908,201493,25663,92917,61373
25017354200,1916,1532500,465000,557500,8,3,4,4670,2400,2527,345000,38.62,2450.5,15,60,2,30,0,0,0,28,0,4,69,1,0,2,17,22,17,193,20,3,6,352,11,332,60,193,37,11,140,1,75.5,392,2020,3008,1397,1611,562,1540,906,2390,74,2,217,0,217,23,166,136,799,1308,799,410,183,130,59,11,6,509,425,67,9,5,2,0,1,2017-21,150804,43797,174583,56982,123984,32063
